text,true_label,predicted_label,final_label
"RT @LOSTRAD1O: I feel guilt because I have not mourned each horror ad-individuum; for those which were not brought to attention immediatelyâ€¦
RT @Cpin42: Being an adult is great because youâ€™re exhausted all the time but you also get the satisfaction of not really accomplishing anyâ€¦
RT @nachdermas: the fact that in 2016 sanders was paying his interns a good wage when others were relying on unpaid labor, and that in 2019â€¦",1,0,
"The United States is in turmoil, more so that at any other time in history. States hate other states, the electoral college is under attack at every turn and the races are at each others throats. On top of this is a two party political system, split by racial, social, cultural, linguistic and class divides. The end result is a nation in gridlock, unable to respond to any great change, unable to commit to any great projects. A political and social stalemate that makes any advancement impossible. Meanwhile the 10000 ton boulder of demographic change rolls ever forward, gaining momentum and possibly destroying all in its path. Eventually, when the white population of the USA realizes the truth of the situation, war will erupt.",1,0,
"RT @RichardACarter2: ""Shadows from the Walls of Death"" (1874) was a visceral book warning about the perils of arsenic pigments in wallpaperâ€¦
RT @EvaMonkey: HAPPY MOTHER'S DAY NERDS https://t.co/Bx6GN8q9cr
RT @archillect: https://t.co/6hY5W4MgOs",0,1,
"In December 2010, a re-recorded version of ""Tremble for My Beloved"" was released as both a single and a music video on iTunes. The music video was also included on the DVD Music Videos and Performances from The Twilight Saga Soundtracks, Vol. 1. The video was shot in August 2010 during a performance in Arequipa, Peru. 
Dolcoath mine (Cornish: Bal Dorkoth) was a copper and tin mine in Camborne, Cornwall, England, United Kingdom. Its name derives from the Cornish for 'Old Ground', and it was also affectionately known as The Queen of Cornish  Mines. The site is north-west of Carn Brea. Dolcoath Road runs between the A3047 road and Chapel Hill. The site is south of this road. 
Welles occasionally gained public notice for his art dealings. In 1925, for example, he sold a collection of Japanese screens that had been on exhibit at the Metropolitan Museum of Art for several years. ",1,0,
"A skin beetle belonging to the subfamily Attageninae found in Dominican amber, a species of Attagenus. 
He was a Member (MP) of the Parliament of England for Great Bedwyn in 1421, for Old Sarum in 1423, for Melcombe Regis in 1427 and for Dorset in 1435. 
News items in Turkish are posted on the website for free access and sent by e-mail to the Turkish-Cypriot and Turkish media, as well as to the Turkish-Cypriot political parties. ",1,0,
"Pain out of proportion or pain out of proportion to physical examination is a medical sign where apparent pain in the individual does not correspond to other signs. It is found in a number of conditions: 
God's wrath against the ungodly will follow for the remainder of the seven years, in what is known as the Day of the Lord. 
They formed after the disbandment of The A-Sides in 2009, where they originated from Philadelphia, Pennsylvania, being Jon Barthmus and his drummer Patrick Marsceill. There was a brief hiatus in 2013 with speculation that the band had disbanded once again, after only seeing a few posts on their Facebook page between 2012 and 2016. Speculation was put to rest with the announcement of their third album. ",0,1,
"To compete, people have to get better credentials by spending more time in college. It used to be that a high school degree was worth something. Now a bachelorï¿½s degree is whatï¿½s recommended to be competitive in the job market. The cost of college degrees has exploded as their value has plummeted. This has led to a generation of indebted, overqualified students filling menial, low paying and unfulfilling jobs. Of course these migrants and their children have contributed to the problem, but are not the sole cause of it. The American lifestyle affords our citizens an incredible quality of life. However, our lifestyle is destroying the environment of our country. The decimation of the environment is creating a massive burden for future generations.",0,1,
"""Hand to hand.. it is the basis of all combat.""
 ""Only a fool trusts his life to a weapon.""
All extremism is bad. Feminism is authoritarian left-wing garbage that will absolutely 
destroy society. Same with right-wing extremism, with them you get Waco, Timothy 
McVeigh, Anders Breivik and other terrorists.3 With the left you can get commie savages 
and liberal college educated (see: money wasters) degenerates.",1,0,
"This biographical article related to United States auto racing is a stub. You can help Wikipedia by expanding it.
Sadhana better known by her stage name Shari is an Indian film and television actress. She was a prominent lead actress from 1982 to 1995 in Malayalam, Tamil, Kannada, and Telugu films. Currently she is active in South Indian TV serials, mainly in Tamil. 
Beloved is a single by VNV Nation from their album Futureperfect. It was released in 2002, with the release of the album. ",1,0,
"Savage was born in Streamstown, Ballisodare, County Sligo on 12 October 1897. He was the youngest son of Michael Savage who was known locally as a Fenian activist and Bridget Savage; formerly Gildea.  After leaving school he worked as an apprentice grocer in Sligo Town before committing himself to the fight for Irish Independence. 
The organisation was created to provide subsidised or free non-formal education programs to underserved communities and currently has 14 ongoing programs and projects in Malaysia. 
Traditionally, only a single extant species was recognized, but following reviews, two species are now recognized: Anatomical differences between the two species of Macrochelys include the shape of the caudal notch at the rear of the carapace and the angle of the squamosal bone at the rear of the skull. The two species are estimated to have diverged less than 3.5 million years ago.  ",0,1,
"I was in Washington, D.C., a week ago Thursday, when they were debating whether or not they should let the bill come onto the floor. And in the back of the room where the Senate meets, there's a huge map of the United States, and on that map it shows the location of Negroes throughout the country. And it shows that the Southern section of the country, the states that are most heavily concentrated with Negroes, are the ones that have senators and congressmen standing up filibustering and doing all other kinds of trickery to keep the Negro from being able to vote. This is pitiful. But it's not pitiful for us any longer; it's actually pitiful for the white man, because soon now, as the Negro awakens a little more and sees the vise that he's in, sees the bag that he's in, sees the real game that he's in, then the Negro's going to develop a new tactic.",1,0,
"Warning -  Look out friends The RCMP and CSIS in Canada and Local Law enforcement and F.B.I. in the States have been scouring this web site during the last 3 months. Looking to arrest you guys and girls for nothing. Ever since that girl from Alberta killed her family, they've been going through the pros, and have arrested dozens of people because of what they wrote in their journals (like talking about killing someone), or the pics they got (like holding a gun) or whatever. Just be careful about what you write. Select ""Private Entry"" for anything that might be perceived as suspicious. For now. ",1,0,
