Text,Actual Label,Predicted Label
"It was apparently her birthday, so the only logical thing to do was hum the wedding march. The pastor and I sighed as we hummed with them, waiting for them to move forward again. The song ended, she stopped, and said, ""I'm glad that you're all here today"". Various views of multiple explosions went through my mind, and at the end of it, a thirdperson overhead stationary view showed some WASPs in a residential park doing all sorts of recreational activities. Text appeared saying, ""At least now there was plenty of space for racquetball"".",1,0
"RT @IwriteOK: My new campaign ad dropped today. I am officially throwing my hat into the ring for 2020. https://t.co/c6x2FOTufo
RT @dubstep4dads: cop: do u kno why i pulled u overariana stan: oh was i going too fast? sorry im on my way to arichella
RT @DxGGEAUX: i had no choice in naming what the evacuation helicopter would be called unfortunately https://t.co/9u0vAtOUcb",1,0
"RT @Marvel: JUST ANNOUNCED AT #C2E2! Cletus Kasady is back, and everyone is a target. This August, prepare yourself for ""Absolute Carnage""â€¦
RT @living_marble: A strange side effect of modernity is hearing tinny music from an unknown source and immediately checking to see if it'sâ€¦
RT @archillect: https://t.co/zKYjP4lm6c",1,0
"RT @Lubchansky: jk https://t.co/w8shGHei39 https://t.co/sAdOpoj5RQ
RT @nellucnhoj: spring is finally here https://t.co/9FImflVWnW
RT @blowdart: ""You can use it worldwide anywhere with Apple Pay."" says the person who has never tried to use Apple Pay in a small town in tâ€¦",1,0
"RT @kashanacauley: Someone Who Can Make Sure GoFundMe Isnâ€™t Our Most Popular Health Insurance Company 2020
RT @SamSykesSwears: Interesting article. I didn't know @Yelp was extorting people like this. https://t.co/jAlW9rZuNE
RT @SamSykesSwears: Is putting live scorpions in your mouth, long thought to be a bad idea, actually a good idea? This opinion columnist weâ€¦",1,0
"RT @ambientGillian: i'm bad at self-promotion, but a lot of people seemed to like this and i'm very proud of it so you should read it if yoâ€¦
RT @Brainmage: I ate your PLUMS and I cannot lieI'm guilty and I won't denyThat when I found them kept in a pretty chilly placeI reallyâ€¦
RT @dappergander: The last 72 hours of #QAnon vs the debunking community, in convenient cut-and-paste comic form.Also, achievement unlockâ€¦",1,0
"RT @ctrlcreep: The factories of the industrial sector hum a pretty song; if they're musical we forgive them their smog, their effluvia, theâ€¦
RT @EllenDatlow: What a fascinating article. The Neuroscientist Who Discovered He Was a PsychopathRead more:... https://t.co/KyfuQvm9ow@dead_lefter @Uhhhbutwhy ""Haha your haircuts are feckin' stupid""@VictimOvChanges Oh my god lmaooo
RT @SwiftOnSecurity: RIP Harambe",1,0
"After then I always had a fear of corners and saw that mask sometimes but always had 
dreams about it. I remember one of my nightmares had it trap me through all the video 
games I played except it would corrupt and distort them. So I was playing OOT and saw 
that dante ghost suddenly attack me, where all 20 of my hearts quickly drained, at 2 hearts 
/ second and I felt a really cold chill. Woke up and saw a bunch of mist across the room or 
something.
 One of the other worlds was like this game called RTB, where it talked to me in the 
bedroom map, as I asked what the hell it was. Then it described how it was murdered by 
David Ray Parker.",1,0
"RT @it_meirl_bot: me irl https://t.co/mwmmG1G2RW https://t.co/0BnfCPAecx
RT @shintarokago: ã¹ã¤ã®ç§ã‚’æŠ‘ãˆè¾¼ã‚€ https://t.co/hCmU6lBpVk
RT @jonrosenberg: Still have not slept. It's not needed. Sleep is a lie https://t.co/cUVXJU9LPC",1,0
"RT @HEXCELERATOR: YOU CAN LEAD A SHINJI TO TERMINAL DOGMA BUT YOU CANâ€™T MAKE HIM PILOT AN EVASo I watched the first ep of the new eva dub. Anyone else wanna talk about it?
RT @SailorBenis: @tsundere_asuka If you press skip intro it should automatically just play Cruel Angel's Thesis twice
RT @DxGGEAUX: Neon Genesis Evangelion@DxGGEAUX AlwaysFucking same https://t.co/4uYtHNalSf@EvaMonkey Damn!!!! No EOE? what will traumatize the youth of the world now?!?!",1,0
"We want to glorify war ï¿½ the only cure for the world ï¿½ militarism, patriotism, the destructive gesture of the anarchists, the beautiful ideas which kill, and contempt for woman. We want to demolish museums and libraries, fight morality, feminism and all opportunist and utilitarian cowardice.",0,1
"RT @Zeddary: Ewoks are good. Like if the Care Bears embraced Maoist insurgency tactics. https://t.co/zF3WuOoRhu
RT @UsaidMuneeb16: Needless to say this by @Bro_Pair is very good. Dissects well how far right propagandists like Rubin propagate hate, tâ€¦
RT @funranium: @AthertonKD [logs into LEGO Ideas to suggest a 7000 piece Chernobyl-4 set]@Jake_Hanrahan Honestly? I'd wear em@NekroiTheoiFL You'd think it'd be simple yeah???",1,0
"RT @mitchysuch: The way the left hates most celebrities and media never bothered me, I just secretly watch a lot of anime and donâ€™t respectâ€¦
RT @onlyastoner: US gov't: the war on drugs is costing a lot of money and failing to reduce drug use so let's just keep doing it
RT @PussyMusty: These are hilarious. Creator: calkearns (IG) https://t.co/dVk3mNmVeH",1,0
"RT @pico8bot: sin(y%x)*y+t+sin(3.99)*flr(6.50)-max(1.16, x) #DZY https://t.co/Y3atv4s5Zi
RT @ambientGillian: when I've forced myself to 'work' all day but still can't bring myself to do anything of substance https://t.co/xokTu4pâ€¦
RT @DynamicWebPaige: a poem about silicon valley,assembled from quora questions about silicon valley.https://t.co/L5S8KrXxvC https:/â€¦",1,0
"RT @DannyDutch: I don't think I've ever used Google maps for what it was originally intended. https://t.co/HaqPQLukZr
RT @AndrewNadeau0: DRACULA: I vant to suck your blood.ME: â€œWant.â€DRACULA: Vant.ME: Wanâ€”itâ€™s a W.DRACULA: Okay, my intent is clear,â€¦@victoriaxxviii *propellant
RT @SheaSerrano: fuck this bullshit and fuck anyone who thinks itâ€™s okay https://t.co/wAtqBatNKf",1,0
"RT @egavactip: I remember my first date.https://t.co/A5fNPIk2jT
RT @extremelysquid: losing it at the jk rowling thread clickhole made https://t.co/v6HR59eW9U@mulchlord The industrial revolution...
RT @AthertonKD: what if 2019 but a cocktail https://t.co/xdQ4avtUEB",1,0
"RT @fullmetalkvrvk: champion finish https://t.co/Y2gsd1x6pG
RT @bastardspod: In Episode 72, @IwriteOK is joined by @katystoll and @drmistercody to discus Free Speech Grifters.https://t.co/jJ1bQELZEG
RT @iAmTheWarax: re re re re REEEEMIXXXX https://t.co/DyVJB6Depp",1,0
